id,x,y,z
609,719.492,1026.16,-2.0791
610,719.492,1026.16,-2.0791
611,719.492,1026.16,-2.0791
612,834.248,1159.05,0.0569
613,834.248,1159.05,0.0569
614,834.248,1159.05,0.0569
615,954.469,1294.13,0.7153
616,954.469,1294.13,0.7153
617,954.469,1294.13,0.7153
618,1067.194,1433.14,2.4222
619,1067.194,1433.14,2.4222
620,1067.194,1433.14,2.4222
621,1182.118,1567.22,0.5776
622,1182.118,1567.22,0.5776
623,1182.118,1567.22,0.5776
624,1303.691,1703.02,-0.5999
625,1303.691,1703.02,-0.5999
626,1303.691,1703.02,-0.5999
627,1422.091,1834.9,-0.8713
628,1422.091,1834.9,-0.8713
629,1422.091,1834.9,-0.8713
630,1542.739,1968.18,-1.0528
631,1542.739,1968.18,-1.0528
632,1542.739,1968.18,-1.0528
633,1654.868,2107.8,-1.7625
634,1654.868,2107.8,-1.7625
635,1654.868,2107.8,-1.7625
636,1766.663,2243.88,-1.2745
637,1766.663,2243.88,-1.2745
638,1766.663,2243.88,-1.2745
639,1884.953,2378.16,1.5585
640,1884.953,2378.16,1.5585
641,1884.953,2378.16,1.5585
642,2001.251,2514.26,0.6696
643,2001.251,2514.26,0.6696
644,2001.251,2514.26,0.6696
645,2114.706,2653.23,-3.761
646,2114.706,2653.23,-3.761
647,2114.706,2653.23,-3.761
648,2230.782,2786.86,-1.3761
649,2230.782,2786.86,-1.3761
650,2230.782,2786.86,-1.3761
651,2351.56,2923.26,-1.4064
652,2351.56,2923.26,-1.4064
653,2351.56,2923.26,-1.4064
654,2468.525,3058.5,-1.1044
655,2468.525,3058.5,-1.1044
656,2468.525,3058.5,-1.1044
657,2586.646,3194.84,-1.6244
658,2586.646,3194.84,-1.6244
659,2586.646,3194.84,-1.6244
660,2700.287,3335.16,-2.5311
661,2700.287,3335.16,-2.5311
662,2700.287,3335.16,-2.5311
663,-96.837,389.53,0.2531
664,-96.837,389.53,0.2531
665,-96.837,389.53,0.2531
666,-233.337,351.34,-0.487
667,-233.337,351.34,-0.487
668,-233.337,351.34,-0.487
669,28.673,451.3,1.4645
670,28.673,451.3,1.4645
671,28.673,451.3,1.4645
672,141.927,539.34,1.1764
673,141.927,539.34,1.1764
674,141.927,539.34,1.1764
675,246.1,649.9,-2.3763
676,246.1,649.9,-2.3763
677,246.1,649.9,-2.3763
678,347.628,773.0,0.1158
679,347.628,773.0,0.1158
680,347.628,773.0,0.1158
681,-192.594,465.92,0.9128
682,-192.594,465.92,0.9128
683,-192.594,465.92,0.9128
684,-295.979,455.52,0.8478
685,-295.979,455.52,0.8478
686,-295.979,455.52,0.8478
687,-83.991,513.32,1.275
688,-83.991,513.32,1.275
689,-83.991,513.32,1.275
690,18.517,584.36,-1.2891
691,18.517,584.36,-1.2891
692,18.517,584.36,-1.2891
693,113.484,677.73,-0.9964
694,113.484,677.73,-0.9964
695,113.484,677.73,-0.9964
696,-271.077,538.51,0.6673
697,-271.077,538.51,0.6673
698,-271.077,538.51,0.6673
699,-313.684,604.0,-0.118
700,-313.684,604.0,-0.118
701,-313.684,604.0,-0.118
702,-177.023,567.22,-0.3987
703,-177.023,567.22,-0.3987
704,-177.023,567.22,-0.3987
705,-249.962,618.19,-1.1413
706,-249.962,618.19,-1.1413
707,-249.962,618.19,-1.1413
708,-316.021,659.56,0.2002
709,-316.021,659.56,0.2002
710,-316.021,659.56,0.2002
711,-263.868,690.7,-0.5591
712,-263.868,690.7,-0.5591
713,-263.868,690.7,-0.5591
714,2817.419,3478.49,-0.6275
715,2817.419,3478.49,-0.6275
716,2817.419,3478.49,-0.6275
717,2946.184,3614.71,-0.7801
718,2946.184,3614.71,-0.7801
719,2946.184,3614.71,-0.7801
720,207.084,784.49,-0.1871
721,207.084,784.49,-0.1871
722,207.084,784.49,-0.1871
723,450.23,900.7,1.844
724,450.23,900.7,1.844
725,450.23,900.7,1.844
726,299.905,902.54,1.7201
727,299.905,902.54,1.7201
728,299.905,902.54,1.7201
729,555.898,1030.15,-0.634
730,555.898,1030.15,-0.634
731,555.898,1030.15,-0.634
732,661.918,1175.82,0.183
733,661.918,1175.82,0.183
734,661.918,1175.82,0.183
735,794.345,1300.9,0.8829
736,794.345,1300.9,0.8829
737,794.345,1300.9,0.8829
738,907.401,1436.03,0.9014
739,907.401,1436.03,0.9014
740,907.401,1436.03,0.9014
741,1011.765,1579.5,0.5516
742,1011.765,1579.5,0.5516
743,1011.765,1579.5,0.5516
744,1147.959,1710.64,0.4897
745,1147.959,1710.64,0.4897
746,1147.959,1710.64,0.4897
747,1260.038,1853.85,-1.1572
748,1260.038,1853.85,-1.1572
749,1260.038,1853.85,-1.1572
750,1391.732,1976.48,-1.1912
751,1391.732,1976.48,-1.1912
752,1391.732,1976.48,-1.1912
753,1502.481,2110.02,-2.8252
754,1502.481,2110.02,-2.8252
755,1502.481,2110.02,-2.8252
756,1604.426,2255.55,-0.2958
757,1604.426,2255.55,-0.2958
758,1604.426,2255.55,-0.2958
759,1728.442,2390.31,-1.8456
760,1728.442,2390.31,-1.8456
761,1728.442,2390.31,-1.8456
762,1841.989,2522.28,2.0237
763,1841.989,2522.28,2.0237
764,1841.989,2522.28,2.0237
765,1952.906,2657.15,-1.1542
766,1952.906,2657.15,-1.1542
767,1952.906,2657.15,-1.1542
768,2058.613,2803.0,-1.5724
769,2058.613,2803.0,-1.5724
770,2058.613,2803.0,-1.5724
771,2195.296,2930.83,-0.041
772,2195.296,2930.83,-0.041
773,2195.296,2930.83,-0.041
774,2307.584,3078.98,-0.9582
775,2307.584,3078.98,-0.9582
776,2307.584,3078.98,-0.9582
777,2433.5,3210.21,-1.3118
778,2433.5,3210.21,-1.3118
779,2433.5,3210.21,-1.3118
780,2545.145,3348.09,-2.2019
781,2545.145,3348.09,-2.2019
782,2545.145,3348.09,-2.2019
783,2658.58,3491.46,-0.9298
784,2658.58,3491.46,-0.9298
785,2658.58,3491.46,-0.9298
786,2787.25,3650.27,-1.1821
787,2787.25,3650.27,-1.1821
788,2787.25,3650.27,-1.1821
789,2805.529,3817.1,-4.5282
790,2805.529,3817.1,-4.5282
791,2805.529,3817.1,-4.5282
792,2775.18,3956.79,-4.855
793,2775.18,3956.79,-4.855
794,2775.18,3956.79,-4.855
795,-559.791,558.29,2.3489
796,-559.791,558.29,2.3489
797,-559.791,558.29,2.3489
798,-556.351,477.51,3.5454
799,-556.351,477.51,3.5454
800,-556.351,477.51,3.5454
801,-487.359,497.09,2.633
802,-487.359,497.09,2.633
803,-487.359,497.09,2.633
804,-503.452,432.11,1.8023
805,-503.452,432.11,1.8023
806,-503.452,432.11,1.8023
807,-432.552,434.4,2.896
808,-432.552,434.4,2.896
809,-432.552,434.4,2.896
810,-434.136,372.62,2.0284
811,-434.136,372.62,2.0284
812,-434.136,372.62,2.0284
813,-345.662,394.2,-0.3505
814,-345.662,394.2,-0.3505
815,-345.662,394.2,-0.3505
816,-364.82,313.13,-0.6308
817,-364.82,313.13,-0.6308
818,-364.82,313.13,-0.6308
819,390.51,1023.62,1.3777
820,390.51,1023.62,1.3777
821,390.51,1023.62,1.3777
822,1897.144,4523.35,-0.4659
823,1897.144,4523.35,-0.4659
824,1897.144,4523.35,-0.4659
825,1757.315,4384.55,4.1003
826,1757.315,4384.55,4.1003
827,1757.315,4384.55,4.1003
